episode: 206 || reward: 44.3077 || t_min: 3328.1126 || reward_s: 16.5790
episode: 207 || reward: 15.8477 || t_min: 3328.1126 || reward_s: 16.5424
episode: 208 || reward: 5.8966 || t_min: 3328.1126 || reward_s: 16.0101
episode: 209 || reward: 10.3448 || t_min: 3328.1126 || reward_s: 15.7269
episode: 210 || reward: 13.0345 || t_min: 3328.1126 || reward_s: 15.5922
episode: 211 || reward: 14.0000 || t_min: 3328.1126 || reward_s: 15.5126
episode: 212 || reward: 51.6317 || t_min: 3328.1126 || reward_s: 17.3186
episode: 213 || reward: 14.0000 || t_min: 3328.1126 || reward_s: 17.1527
episode: 214 || reward: 14.0000 || t_min: 3328.1126 || reward_s: 16.9950
episode: 215 || reward: 12.1034 || t_min: 3328.1126 || reward_s: 16.7504
episode: 216 || reward: 14.0000 || t_min: 3328.1126 || reward_s: 16.6129
episode: 217 || reward: 62.3127 || t_min: 3328.1126 || reward_s: 18.8979
episode: 218 || reward: 24.2202 || t_min: 3328.1126 || reward_s: 19.1640
episode: 219 || reward: 4.1379 || t_min: 3328.1126 || reward_s: 18.4127
episode: 220 || reward: 14.0000 || t_min: 3328.1126 || reward_s: 18.1921
episode: 221 || reward: 12.1034 || t_min: 3328.1126 || reward_s: 17.8877
episode: 222 || reward: 8.7241 || t_min: 3328.1126 || reward_s: 17.4295
episode: 223 || reward: 17.0538 || t_min: 3328.1126 || reward_s: 17.4107
episode: 224 || reward: 13.0345 || t_min: 3328.1126 || reward_s: 17.1919
episode: 225 || reward: 10.3448 || t_min: 3328.1126 || reward_s: 16.8495
episode: 226 || reward: 24.7525 || t_min: 3328.1126 || reward_s: 17.2447
episode: 227 || reward: 14.0000 || t_min: 3328.1126 || reward_s: 17.0824
episode: 228 || reward: 19.9913 || t_min: 3328.1126 || reward_s: 17.2279
episode: 229 || reward: 33.1963 || t_min: 3291.7200 || reward_s: 18.0263
episode: 230 || reward: 13.0345 || t_min: 3291.7200 || reward_s: 17.7767
episode: 231 || reward: 10.3448 || t_min: 3291.7200 || reward_s: 17.4051
episode: 232 || reward: 14.0000 || t_min: 3291.7200 || reward_s: 17.2349
episode: 233 || reward: 14.0000 || t_min: 3291.7200 || reward_s: 17.0731
episode: 234 || reward: 24.5633 || t_min: 3291.7200 || reward_s: 17.4476
episode: 235 || reward: 5.8966 || t_min: 3291.7200 || reward_s: 16.8701
episode: 236 || reward: 14.0000 || t_min: 3291.7200 || reward_s: 16.7266
episode: 237 || reward: 7.9655 || t_min: 3291.7200 || reward_s: 16.2885
episode: 238 || reward: 14.0000 || t_min: 3291.7200 || reward_s: 16.1741
episode: 239 || reward: 11.2069 || t_min: 3291.7200 || reward_s: 15.9257
episode: 240 || reward: 18.1643 || t_min: 3291.7200 || reward_s: 16.0377
episode: 241 || reward: 10.3448 || t_min: 3291.7200 || reward_s: 15.7530
episode: 242 || reward: 10.3448 || t_min: 3291.7200 || reward_s: 15.4826
episode: 243 || reward: 7.9655 || t_min: 3291.7200 || reward_s: 15.1068
episode: 244 || reward: 14.0000 || t_min: 3291.7200 || reward_s: 15.0514
episode: 245 || reward: 25.8135 || t_min: 3291.7200 || reward_s: 15.5895
episode: 246 || reward: 52.8311 || t_min: 3291.7200 || reward_s: 17.4516
episode: 247 || reward: 7.9655 || t_min: 3291.7200 || reward_s: 16.9773
episode: 248 || reward: 8.7241 || t_min: 3291.7200 || reward_s: 16.5646
episode: 249 || reward: 5.8966 || t_min: 3291.7200 || reward_s: 16.0312
episode: 250 || reward: 11.2069 || t_min: 3291.7200 || reward_s: 15.7900
episode: 251 || reward: 12.1034 || t_min: 3291.7200 || reward_s: 15.6057
episode: 252 || reward: 14.0000 || t_min: 3291.7200 || reward_s: 15.5254
episode: 253 || reward: 10.3448 || t_min: 3291.7200 || reward_s: 15.2664
episode: 254 || reward: 14.0000 || t_min: 3291.7200 || reward_s: 15.2031
episode: 255 || reward: 5.8966 || t_min: 3291.7200 || reward_s: 14.7377
episode: 256 || reward: 27.3970 || t_min: 3291.7200 || reward_s: 15.3707
episode: 257 || reward: 5.2759 || t_min: 3291.7200 || reward_s: 14.8660
episode: 258 || reward: 49.8975 || t_min: 3221.9251 || reward_s: 16.6175
episode: 259 || reward: 7.2414 || t_min: 3221.9251 || reward_s: 16.1487
episode: 260 || reward: 11.2069 || t_min: 3221.9251 || reward_s: 15.9016
episode: 261 || reward: 5.2759 || t_min: 3221.9251 || reward_s: 15.3703
episode: 262 || reward: 8.7241 || t_min: 3221.9251 || reward_s: 15.0380
episode: 263 || reward: 14.0000 || t_min: 3221.9251 || reward_s: 14.9861
episode: 264 || reward: 7.9655 || t_min: 3221.9251 || reward_s: 14.6351
episode: 265 || reward: 17.4461 || t_min: 3221.9251 || reward_s: 14.7756
episode: 266 || reward: 14.0000 || t_min: 3221.9251 || reward_s: 14.7369
episode: 267 || reward: 8.7241 || t_min: 3221.9251 || reward_s: 14.4362
episode: 268 || reward: 18.5681 || t_min: 3221.9251 || reward_s: 14.6428
episode: 269 || reward: 5.2759 || t_min: 3221.9251 || reward_s: 14.1745
episode: 270 || reward: 14.0000 || t_min: 3221.9251 || reward_s: 14.1658
episode: 271 || reward: 10.3448 || t_min: 3221.9251 || reward_s: 13.9747
episode: 272 || reward: 7.9655 || t_min: 3221.9251 || reward_s: 13.6742
episode: 273 || reward: 26.5783 || t_min: 3221.9251 || reward_s: 14.3194
episode: 274 || reward: 2.2759 || t_min: 3221.9251 || reward_s: 13.7173
episode: 275 || reward: 10.3448 || t_min: 3221.9251 || reward_s: 13.5486
episode: 276 || reward: 14.0000 || t_min: 3221.9251 || reward_s: 13.5712
episode: 277 || reward: 12.1034 || t_min: 3221.9251 || reward_s: 13.4978
episode: 278 || reward: 12.1034 || t_min: 3221.9251 || reward_s: 13.4281
episode: 279 || reward: 13.0345 || t_min: 3221.9251 || reward_s: 13.4084
episode: 280 || reward: 17.0480 || t_min: 3221.9251 || reward_s: 13.5904
episode: 281 || reward: 37.7738 || t_min: 3221.9251 || reward_s: 14.7996
episode: 282 || reward: 17.1972 || t_min: 3221.9251 || reward_s: 14.9195
episode: 283 || reward: 14.0000 || t_min: 3221.9251 || reward_s: 14.8735
episode: 284 || reward: 4.6897 || t_min: 3221.9251 || reward_s: 14.3643
episode: 285 || reward: 17.4435 || t_min: 3221.9251 || reward_s: 14.5182
episode: 286 || reward: 7.2414 || t_min: 3221.9251 || reward_s: 14.1544
episode: 287 || reward: 13.0345 || t_min: 3221.9251 || reward_s: 14.0984
episode: 288 || reward: 7.2414 || t_min: 3221.9251 || reward_s: 13.7556
episode: 289 || reward: 7.9655 || t_min: 3221.9251 || reward_s: 13.4661
episode: 290 || reward: 13.0345 || t_min: 3221.9251 || reward_s: 13.4445
episode: 291 || reward: 16.2013 || t_min: 3221.9251 || reward_s: 13.5823
episode: 292 || reward: 12.1034 || t_min: 3221.9251 || reward_s: 13.5084
episode: 293 || reward: 31.9926 || t_min: 3221.9251 || reward_s: 14.4326
episode: 294 || reward: 14.0000 || t_min: 3221.9251 || reward_s: 14.4110
episode: 295 || reward: 27.9551 || t_min: 3221.9251 || reward_s: 15.0882
episode: 296 || reward: 14.0000 || t_min: 3221.9251 || reward_s: 15.0338
episode: 297 || reward: 28.8653 || t_min: 3221.9251 || reward_s: 15.7253
episode: 298 || reward: 14.0000 || t_min: 3221.9251 || reward_s: 15.6391
episode: 299 || reward: 12.1034 || t_min: 3221.9251 || reward_s: 15.4623
episode: 300 || reward: 14.0000 || t_min: 3221.9251 || reward_s: 15.3892
episode: 301 || reward: 4.6897 || t_min: 3221.9251 || reward_s: 14.8542
episode: 302 || reward: 7.2414 || t_min: 3221.9251 || reward_s: 14.4736
episode: 303 || reward: 14.0000 || t_min: 3221.9251 || reward_s: 14.4499
episode: 304 || reward: 8.7241 || t_min: 3221.9251 || reward_s: 14.1636
episode: 305 || reward: 14.0000 || t_min: 3221.9251 || reward_s: 14.1554
episode: 306 || reward: 8.7241 || t_min: 3221.9251 || reward_s: 13.8838
episode: 307 || reward: 9.5172 || t_min: 3221.9251 || reward_s: 13.6655
episode: 308 || reward: 14.0000 || t_min: 3221.9251 || reward_s: 13.6822
episode: 309 || reward: 11.2069 || t_min: 3221.9251 || reward_s: 13.5585
episode: 310 || reward: 37.6054 || t_min: 3221.9251 || reward_s: 14.7608
episode: 311 || reward: 41.1415 || t_min: 3221.9251 || reward_s: 16.0798
episode: 312 || reward: 14.0000 || t_min: 3221.9251 || reward_s: 15.9759
episode: 313 || reward: 7.2414 || t_min: 3221.9251 || reward_s: 15.5391
episode: 314 || reward: 5.2759 || t_min: 3221.9251 || reward_s: 15.0260
episode: 315 || reward: 14.0000 || t_min: 3221.9251 || reward_s: 14.9747
episode: 316 || reward: 24.6502 || t_min: 3221.9251 || reward_s: 15.4584
episode: 317 || reward: 5.8966 || t_min: 3221.9251 || reward_s: 14.9804
episode: 318 || reward: 9.5172 || t_min: 3221.9251 || reward_s: 14.7072
episode: 319 || reward: 10.3448 || t_min: 3221.9251 || reward_s: 14.4891
episode: 320 || reward: 10.3448 || t_min: 3221.9251 || reward_s: 14.2819
episode: 321 || reward: 30.6592 || t_min: 3221.9251 || reward_s: 15.1007
episode: 322 || reward: 10.3448 || t_min: 3221.9251 || reward_s: 14.8629
episode: 323 || reward: 14.0000 || t_min: 3221.9251 || reward_s: 14.8198
episode: 324 || reward: 71.5606 || t_min: 3221.9251 || reward_s: 17.6568
episode: 325 || reward: 10.3448 || t_min: 3221.9251 || reward_s: 17.2912
episode: 326 || reward: 12.1034 || t_min: 3221.9251 || reward_s: 17.0318
episode: 327 || reward: 14.0000 || t_min: 3221.9251 || reward_s: 16.8802
episode: 328 || reward: 10.3448 || t_min: 3221.9251 || reward_s: 16.5535
episode: 329 || reward: 13.0345 || t_min: 3221.9251 || reward_s: 16.3775
episode: 330 || reward: 35.7119 || t_min: 3221.9251 || reward_s: 17.3442
episode: 331 || reward: 5.2759 || t_min: 3221.9251 || reward_s: 16.7408
episode: 332 || reward: 35.1659 || t_min: 3221.9251 || reward_s: 17.6621
episode: 333 || reward: 6.5517 || t_min: 3221.9251 || reward_s: 17.1066
episode: 334 || reward: 4.1379 || t_min: 3221.9251 || reward_s: 16.4581
episode: 335 || reward: 8.7241 || t_min: 3221.9251 || reward_s: 16.0714
episode: 336 || reward: 13.0345 || t_min: 3221.9251 || reward_s: 15.9196
episode: 337 || reward: 14.0000 || t_min: 3221.9251 || reward_s: 15.8236
episode: 338 || reward: 20.3281 || t_min: 3221.9251 || reward_s: 16.0488
