2026-03-26 04:06:10,762 - INFO - Start algorithm execution: algorithms.RL.main
2026-03-26 04:06:10,762 - INFO - RL using gamma=0.95 (DRDQL_GAMMA=)
2026-03-26 04:06:12,145 - INFO - episode:106 totalReward:916.8191420366313 Actions:[[1, 0], [2, 1], [4, 1], [0, 1], [3, 2], [5, 5]]
2026-03-26 04:06:12,154 - INFO - episode:107 totalReward:-100 Actions:[[5, 1], [0, 1], [1, 4], [3, 3], [2, 3], [4, 2]]
2026-03-26 04:06:12,169 - INFO - episode:108 totalReward:-100 Actions:[[3, 1], [2, 3], [0, 4], [5, 5], [1, 2], [4, 1]]
2026-03-26 04:06:12,179 - INFO - episode:109 totalReward:-100 Actions:[[1, 0], [5, 5], [2, 1], [0, 1], [4, 5], [3, 1]]
2026-03-26 04:06:12,186 - INFO - episode:110 totalReward:-100 Actions:[[0, 4]]
2026-03-26 04:06:12,194 - INFO - episode:111 totalReward:-100 Actions:[[0, 4], [5, 2], [1, 5], [3, 0], [4, 1], [2, 1]]
2026-03-26 04:06:12,202 - INFO - episode:112 totalReward:772.8458188244396 Actions:[[3, 0], [5, 5], [0, 2], [4, 2], [2, 5], [1, 2]]
2026-03-26 04:06:12,219 - INFO - episode:113 totalReward:-100 Actions:[[0, 4], [4, 2], [3, 3], [1, 2], [5, 5], [2, 0]]
2026-03-26 04:06:12,225 - INFO - episode:114 totalReward:-100 Actions:[[0, 4], [3, 4], [4, 5], [2, 5], [5, 2], [1, 3]]
2026-03-26 04:06:12,232 - INFO - episode:115 totalReward:-100 Actions:[[0, 4], [2, 2], [4, 5], [3, 5], [5, 4], [1, 0]]
2026-03-26 04:06:12,242 - INFO - episode:116 totalReward:-100 Actions:[[0, 5], [5, 3], [3, 5], [2, 5], [1, 2], [4, 2]]
2026-03-26 04:06:12,253 - INFO - episode:117 totalReward:624.9877116640002 Actions:[[4, 0], [5, 3], [0, 1], [3, 1], [2, 4], [1, 0]]
2026-03-26 04:06:12,261 - INFO - episode:118 totalReward:-100 Actions:[[4, 2], [3, 4], [2, 4], [5, 2], [1, 2], [0, 5]]
2026-03-26 04:06:12,272 - INFO - episode:119 totalReward:-100 Actions:[[0, 4], [3, 5], [5, 1], [2, 3], [4, 1], [1, 1]]
2026-03-26 04:06:12,288 - INFO - episode:120 totalReward:-100 Actions:[[0, 4], [3, 1]]
2026-03-26 04:06:12,297 - INFO - episode:121 totalReward:-100 Actions:[[0, 4], [3, 1], [1, 4], [2, 3], [4, 2], [5, 4]]
2026-03-26 04:06:12,312 - INFO - episode:122 totalReward:116.9492366343132 Actions:[[2, 3], [0, 4], [3, 3], [5, 0], [1, 2], [4, 3]]
2026-03-26 04:06:12,323 - INFO - episode:123 totalReward:807.229496375523 Actions:[[5, 1], [3, 4], [2, 0], [1, 2], [4, 2], [0, 3]]
2026-03-26 04:06:12,334 - INFO - episode:124 totalReward:-100 Actions:[[0, 4], [1, 0], [3, 0], [4, 2], [2, 1], [5, 2]]
2026-03-26 04:06:12,341 - INFO - episode:125 totalReward:353.6818451031318 Actions:[[0, 2], [3, 5], [4, 4], [2, 5], [1, 4], [5, 5]]
2026-03-26 04:06:12,347 - INFO - episode:126 totalReward:-100 Actions:[[5, 4], [0, 5], [4, 0], [2, 2], [3, 2], [1, 4]]
2026-03-26 04:06:12,353 - INFO - episode:127 totalReward:-100 Actions:[[4, 1], [2, 1], [3, 0], [1, 3], [0, 0], [5, 4]]
2026-03-26 04:06:12,361 - INFO - episode:128 totalReward:-100 Actions:[[1, 4], [2, 5], [0, 1], [4, 0], [3, 0], [5, 3]]
2026-03-26 04:06:12,367 - INFO - episode:129 totalReward:-100 Actions:[[2, 5], [0, 5], [4, 3], [1, 5], [3, 5], [5, 0]]
2026-03-26 04:06:12,376 - INFO - episode:130 totalReward:-100 Actions:[[0, 4], [3, 2]]
2026-03-26 04:06:12,383 - INFO - episode:131 totalReward:-100 Actions:[[0, 4], [2, 2], [1, 0], [3, 0], [5, 0], [4, 1]]
2026-03-26 04:06:12,395 - INFO - episode:132 totalReward:382.93318579349136 Actions:[[5, 5], [1, 5], [0, 4], [4, 5], [3, 0], [2, 3]]
2026-03-26 04:06:12,406 - INFO - episode:133 totalReward:699.3454049185087 Actions:[[1, 0], [4, 1], [0, 0], [3, 0], [2, 5], [5, 0]]
