2026-03-24 17:26:46,851 - INFO - episode:104 reward:0.6000000000000001 Actions:[[9, 0], [2, 1], [6, 0], [8, 1], [0, 4], [5, 3], [7, 0], [1, 0], [4, 1], [3, 1]]
2026-03-24 17:26:46,873 - INFO - episode:105 reward:3.5999999999999996 Actions:[[0, 1], [3, 3], [5, 1], [7, 2], [2, 4], [9, 0], [1, 2], [6, 1], [4, 1], [8, 0]]
2026-03-24 17:26:46,894 - INFO - episode:106 reward:1.5 Actions:[[3, 3], [4, 1], [1, 0], [0, 4], [5, 0], [9, 0], [2, 5], [6, 1], [8, 1], [7, 0]]
2026-03-24 17:26:46,915 - INFO - episode:107 reward:1.0 Actions:[[1, 4], [6, 0], [3, 0], [2, 4], [7, 4], [8, 1], [4, 0], [5, 0], [0, 0], [9, 1]]
2026-03-24 17:26:46,936 - INFO - episode:108 reward:1.5 Actions:[[0, 1], [1, 0], [7, 2], [3, 1], [4, 0], [2, 0], [9, 1], [5, 1], [6, 0], [8, 0]]
2026-03-24 17:26:46,957 - INFO - episode:109 reward:0.30000000000000004 Actions:[[8, 1], [5, 2], [9, 1], [7, 1], [3, 1], [0, 1], [1, 0], [6, 1], [4, 0], [2, 1]]
2026-03-24 17:26:46,978 - INFO - episode:110 reward:1.0 Actions:[[7, 3], [3, 3], [2, 2], [0, 2], [1, 2], [4, 0], [6, 2], [5, 0], [9, 3], [8, 1]]
2026-03-24 17:26:47,000 - INFO - episode:111 reward:2.8 Actions:[[6, 3], [4, 0], [7, 1], [0, 2], [5, 1], [3, 1], [1, 2], [9, 1], [2, 3], [8, 2]]
2026-03-24 17:26:47,021 - INFO - episode:112 reward:2.1 Actions:[[0, 3], [5, 0], [7, 1], [3, 0], [4, 0], [2, 1], [9, 0], [8, 1], [1, 1], [6, 1]]
2026-03-24 17:26:47,042 - INFO - episode:113 reward:0.6000000000000001 Actions:[[3, 1], [5, 1], [1, 0], [8, 0], [2, 4], [4, 1], [6, 2], [7, 0], [9, 2], [0, 4]]
2026-03-24 17:26:47,063 - INFO - episode:114 reward:1.5 Actions:[[9, 1], [3, 3], [8, 4], [0, 0], [7, 0], [1, 0], [6, 1], [5, 3], [2, 0], [4, 1]]
2026-03-24 17:26:47,084 - INFO - episode:115 reward:1.5 Actions:[[4, 3], [3, 1], [5, 3], [6, 0], [2, 2], [1, 3], [9, 3], [7, 1], [8, 5], [0, 1]]
2026-03-24 17:26:47,108 - INFO - episode:116 reward:4.5 Actions:[[3, 2], [1, 3], [0, 4], [4, 2], [2, 4], [9, 1], [7, 0], [6, 3], [5, 4], [8, 1]]
2026-03-24 17:26:47,129 - INFO - episode:117 reward:1.5 Actions:[[9, 3], [3, 1], [1, 2], [2, 3], [6, 1], [8, 1], [4, 2], [5, 4], [0, 3], [7, 0]]
2026-03-24 17:26:47,151 - INFO - episode:118 reward:1.0 Actions:[[1, 3], [9, 1], [4, 3], [5, 2], [3, 3], [6, 3], [0, 0], [7, 0], [2, 2], [8, 4]]
2026-03-24 17:26:47,172 - INFO - episode:119 reward:2.1 Actions:[[9, 4], [7, 1], [6, 3], [3, 2], [2, 3], [0, 2], [1, 2], [5, 1], [4, 0], [8, 1]]
2026-03-24 17:26:47,193 - INFO - episode:120 reward:0.1 Actions:[[1, 1], [8, 1], [6, 0], [3, 2], [0, 1], [7, 2], [4, 1], [5, 2], [2, 4], [9, 4]]
2026-03-24 17:26:47,214 - INFO - episode:121 reward:0.30000000000000004 Actions:[[9, 2], [8, 1], [4, 1], [2, 0], [6, 2], [7, 1], [0, 0], [1, 0], [5, 0], [3, 0]]
2026-03-24 17:26:47,235 - INFO - episode:122 reward:2.8 Actions:[[1, 3], [0, 1], [3, 0], [7, 3], [2, 1], [6, 2], [9, 2], [8, 0], [5, 1], [4, 0]]
2026-03-24 17:26:47,256 - INFO - episode:123 reward:0.30000000000000004 Actions:[[8, 1], [5, 3], [3, 1], [0, 1], [6, 0], [4, 0], [9, 0], [1, 1], [2, 2], [7, 1]]
2026-03-24 17:26:47,277 - INFO - episode:124 reward:2.8 Actions:[[9, 0], [5, 5], [3, 3], [4, 1], [7, 1], [2, 3], [6, 2], [8, 0], [0, 2], [1, 1]]
2026-03-24 17:26:47,299 - INFO - episode:125 reward:2.1 Actions:[[6, 2], [2, 1], [3, 0], [9, 0], [7, 1], [5, 1], [8, 1], [4, 1], [0, 2], [1, 0]]
2026-03-24 17:26:47,324 - INFO - episode:126 reward:4.5 Actions:[[6, 1], [2, 1], [5, 3], [7, 2], [9, 3], [3, 4], [1, 2], [4, 1], [0, 0], [8, 1]]
2026-03-24 17:26:47,346 - INFO - episode:127 reward:2.1 Actions:[[2, 3], [0, 3], [5, 0], [9, 1], [4, 1], [7, 3], [1, 3], [6, 2], [8, 1], [3, 1]]
2026-03-24 17:26:47,369 - INFO - episode:128 reward:3.5999999999999996 Actions:[[5, 1], [1, 2], [0, 3], [3, 3], [4, 1], [2, 1], [9, 3], [8, 0], [6, 1], [7, 4]]
2026-03-24 17:26:47,391 - INFO - episode:129 reward:2.1 Actions:[[1, 2], [2, 1], [9, 0], [3, 3], [4, 3], [5, 1], [8, 1], [6, 0], [0, 2], [7, 1]]
2026-03-24 17:26:47,413 - INFO - episode:130 reward:0.6000000000000001 Actions:[[4, 3], [9, 0], [8, 1], [5, 1], [7, 0], [2, 0], [0, 1], [3, 1], [6, 1], [1, 0]]
2026-03-24 17:26:47,435 - INFO - episode:131 reward:2.1 Actions:[[7, 3], [6, 2], [0, 1], [3, 1], [9, 2], [8, 0], [1, 2], [4, 2], [2, 3], [5, 3]]
2026-03-24 17:26:47,456 - INFO - episode:132 reward:2.1 Actions:[[7, 4], [9, 0], [5, 1], [0, 1], [1, 0], [2, 1], [8, 0], [6, 4], [3, 0], [4, 1]]
